Date,Open,High,Low,Close,Adj Close,Volume
2005-09-01,89.146553,105.301018,88.724968,102.378647,88.165405,198576727
2005-10-01,102.522369,110.475037,87.450623,90.449638,77.892502,247720669
2005-11-01,91.216164,112.985397,84.509094,106.508286,91.721725,203694496
2005-12-01,105.013565,127.530167,104.534492,125.211433,107.828316,300115512
2006-01-01,125.910889,136.364334,116.568893,135.760696,116.913025,149234816
2006-02-01,135.674469,157.597000,133.758163,156.408890,134.694626,243359765
2006-03-01,156.370575,181.474182,155.230362,178.570969,153.779922,310962429
2006-04-01,179.557877,188.973068,148.513718,188.290390,162.149994,150088547
2006-05-01,177.727798,191.209015,131.841858,151.014496,130.049133,246849355
2006-06-01,151.771439,157.290390,124.607796,152.317581,131.171341,253713551
2006-07-01,153.687744,155.335770,124.962311,142.199493,124.532669,215194888
2006-08-01,140.848495,166.910248,137.974030,162.090744,141.952606,173621159
2006-09-01,161.736221,173.578995,155.460327,165.128082,144.612625,145838424
2006-10-01,165.128082,176.415131,157.903610,158.622223,138.915009,118523644
2006-11-01,159.082138,161.832047,151.052826,155.057892,135.793518,169991745
2006-12-01,173.042435,177.248718,144.681107,172.582520,151.140900,147724633
2007-01-01,172.582520,189.407684,166.335358,168.309158,147.398468,142932309
2007-02-01,170.321274,178.216461,144.748169,149.970108,131.337875,115688765
2007-03-01,153.496109,155.968140,133.873138,139.545395,122.208305,184878141
2007-04-01,136.249359,151.359421,126.677406,144.058304,126.160538,183340381
2007-05-01,144.058304,149.471863,124.157463,144.815247,126.823425,154426604
2007-06-01,144.364914,145.581772,110.187592,128.430832,112.474609,184789405
2007-07-01,128.296692,159.053391,127.664307,134.026443,119.752007,175957892
2007-08-01,132.033478,136.249359,117.469559,134.476776,120.154358,186835327
2007-09-01,134.907944,157.520355,130.500443,148.877808,133.021637,115146025
2007-10-01,154.645889,161.333801,141.998276,145.227249,129.759872,173333292
2007-11-01,147.555557,147.919662,128.986557,140.359833,125.410843,99624938
2007-12-01,141.040115,150.966583,130.538757,142.170746,127.028885,89754658
2008-01-01,142.189911,157.922775,101.660034,134.036026,119.760551,157834816
2008-02-01,135.674469,150.966583,131.266953,134.208496,119.914665,82831042
2008-03-01,134.208496,136.431412,114.403465,119.328377,106.619339,112131677
2008-04-01,119.769127,128.200867,115.419106,127.338531,113.776375,74144688
2008-05-01,127.338531,134.141418,109.631866,110.321739,98.571968,86010345
2008-06-01,111.145744,114.786728,77.629555,81.644218,72.948738,93324485
2008-07-01,81.251373,86.559540,71.574028,77.322945,71.155563,78812147
2008-08-01,77.035500,87.575180,74.592209,84.394112,77.662727,81559646
2008-09-01,83.359306,86.274620,67.139854,68.050095,62.622322,111375582
2008-10-01,68.267761,70.968788,25.921961,33.550140,30.874134,166738561
2008-11-01,36.369896,40.525326,24.695120,27.089437,24.928747,250988268
2008-12-01,27.406042,37.972706,24.784164,31.630728,29.107819,251323589
2009-01-01,31.848394,37.398857,25.773552,29.612377,27.250452,202244559
2009-02-01,29.295773,31.017307,25.328327,29.543119,27.186722,220066398
2009-03-01,28.909912,38.190369,26.743153,35.677326,32.831657,527319518
2009-04-01,36.013718,58.354092,34.668148,48.242550,44.394661,671384426
2009-05-01,48.242550,74.184296,48.242550,66.655060,61.338570,483224801
2009-06-01,68.980118,79.883171,56.968952,57.532902,52.944004,528051492
2009-07-01,57.839611,84.097961,50.280689,83.415283,76.761971,627642767
2009-08-01,83.702209,100.066681,73.650032,96.900642,89.171715,794503002
2009-09-01,97.237038,122.862183,94.348022,116.975319,109.199463,578098553
2009-10-01,117.697578,118.726540,97.949394,112.246048,104.784569,525432329
2009-11-01,112.246048,131.944763,107.684975,131.222504,122.499573,428748186
2009-12-01,135.110794,158.222900,132.201996,156.629990,146.218124,382987741
2010-01-01,156.629990,167.147186,132.874786,137.396286,128.262970,308512479
2010-02-01,136.080399,146.429398,125.404907,140.730530,131.375565,296708433
2010-03-01,140.730530,164.179016,140.730530,149.931824,139.965195,544769911
2010-04-01,150.386948,173.835434,138.514297,172.667969,161.189972,512797698
2010-05-01,172.351364,174.666519,132.577972,149.397568,139.466446,564931097
2010-06-01,148.032211,162.922501,142.580673,154.047684,143.807465,469189166
2010-07-01,153.909164,172.005066,148.091568,167.473679,156.340988,307820043
